Designator,Mid X,Mid Y,Rotation,Layer
R82,87.5725,-70.61,180.0,bottom
R83,90.96,-77.5975,90.0,bottom
R84,80.4725,-76.41,0.0,bottom
R85,80.4725,-73.81,0.0,bottom
R86,86.16,-122.2975,90.0,bottom
R87,80.96,-122.2975,270.0,bottom
R88,98.66,-102.8225,270.0,bottom
R89,101.66,-102.8225,270.0,bottom
R9,95.96,-72.2975,90.0,bottom
R90,104.76,-102.8225,270.0,bottom
R91,98.36,-64.3225,90.0,bottom
R92,136.76,-110.5225,90.0,bottom
R93,103.46,-64.3225,90.0,bottom
R94,100.86,-64.3225,270.0,bottom
SW1,104.285,-92.16,0.0,top
SW2,83.06,-122.16,0.0,top
U1,123.6075,-100.41,180.0,top
U10,91.4225,-105.3975,180.0,top
U11,99.03415,-117.815,180.0,top
U12,89.61,-79.0475,90.0,top
U2,92.31,-71.860799,270.0,top
U3,101.19475,-72.16,0.0,top
U4,126.51,-78.272501,270.0,bottom
U5,123.96,-59.897499,90.0,bottom
U6,117.56,-107.0222,90.0,bottom
U7,129.715,-107.0222,270.0,bottom
U8,117.635,-95.0478,90.0,bottom
U9,129.715,-95.0478,270.0,bottom
Y1,136.8575,-98.66,90.0,top
